id,codigo_120,name
1,03000000-1,"Produtos da agricultura, da pesca, da silvicultura e afins"
2,03100000-2,Produtos agrícolas e hortofrutícolas
3,03110000-5,"Cereais, produtos de culturas industriais e da horticultura"
4,03111000-2,Sementes
5,03111100-3,Soja
6,03111200-4,Amendoins
7,03111300-5,Sementes de girassol
8,03111400-6,Sementes de algodão
9,03111500-7,Sementes de sésamo
10,03111600-8,Sementes de mostarda
11,03111700-9,Sementes de produtos hortícolas
12,03111800-0,Sementes de frutos
13,03111900-1,Sementes de flores
14,03112000-9,Tabaco não manufacturado
15,03113000-6,Plantas utilizadas para o fabrico de açúcar
16,03113100-7,Beterraba sacarina
17,03113200-8,Cana-de-açúcar
18,03114000-3,Palha e plantas forrageiras
19,03114100-4,Palha
20,03114200-5,Plantas forrageiras
21,03115000-0,Matérias-primas vegetais
22,03115100-1,Matérias-primas vegetais usadas na produção de têxteis
23,03115110-4,Algodão
24,03115120-7,Juta
25,03115130-0,Linho
26,03116000-7,Borracha e látex naturais e produtos afins
27,03116100-8,Borracha natural
28,03116200-9,Látex natural
29,03116300-0,Produtos de látex
30,03117000-4,Plantas utilizadas em domínios específicos
31,03117100-5,"Plantas utilizadas em perfumaria ou farmácia, como insecticidas ou para fins semelhantes"
32,03117110-8,Plantas utilizadas em perfumaria
33,03117120-1,Plantas utilizadas em farmácia
34,03117130-4,Plantas utilizadas como insecticidas
35,03117140-7,Plantas utilizadas como fungicidas ou para fins semelhantes
36,03117200-6,Sementes de plantas
37,03120000-8,Produtos hortofrutícolas e de viveiro
38,03121000-5,Produtos hortifrutícolas
39,03121100-6,"Plantas vivas, bolbos, raízes, estacas e enxertos"
40,03121200-7,Flores cortadas
41,03121210-0,Arranjos florais
42,03130000-1,Culturas destinadas à preparação de bebidas e de especiarias
43,03131000-8,Plantas destinadas à preparação de bebidas
44,03131100-9,Café em grão
45,03131200-0,Plantas de chá
46,03131300-1,Mate
47,03131400-2,Grãos de cacau
48,03132000-5,Especiarias não transformadas
49,03140000-4,Produtos de origem animal e afins
50,03141000-1,Sémen de bovino
51,03142000-8,Produtos de origem animal
52,03142100-9,Mel natural
53,03142200-0,Caracóis
54,03142300-1,Produtos comestíveis de origem animal
55,03142400-2,Ceras
56,03142500-3,Ovos
57,03143000-5,Produtos de explorações mistas
58,03144000-2,Produtos para a agricultura
59,03200000-3,"Cereais, batatas, produtos hortícolas, frutas e frutos de casca rija"
60,03210000-6,Cereais e batatas
61,03211000-3,Cereais
62,03211100-4,Trigo
63,03211110-7,Trigo duro
64,03211120-0,Trigo mole
65,03211200-5,Milho
66,03211300-6,Arroz
67,03211400-7,Cevada
68,03211500-8,Centeio
69,03211600-9,Aveia
70,03211700-0,Malte
71,03211900-2,Grãos
72,03212000-0,Batatas e produtos hortícolas secos
73,03212100-1,Batatas
74,03212200-2,"Legumes de vagem, com ou sem vagem, secos"
75,03212210-5,Legumes de vagem secos
76,03212211-2,Lentilhas
77,03212212-9,Grão-de-bico
78,03212213-6,Ervilhas secas
79,03212220-8,Leguminosas secas
80,03220000-9,"Produtos hortícolas, frutas e frutos de casca rija"
81,03221000-6,Produtos hortícolas
82,03221100-7,Raízes e tubérculos
83,03221110-0,Raízes
84,03221111-7,Beterrabas
85,03221112-4,Cenouras
86,03221113-1,Cebolas
87,03221114-8,Nabos
88,03221120-3,Tubérculos
89,03221200-8,Frutos hortícolas
90,03221210-1,Feijões
91,03221211-8,Favas
92,03221212-5,Feijão verde
93,03221213-2,Feijão-de-sete-anos
94,03221220-4,Ervilhas
95,03221221-1,Ervilhas frescas
96,03221222-8,Ervilha comum
97,03221230-7,Pimentos
98,03221240-0,Tomates
99,03221250-3,Courgettes
100,03221260-6,Cogumelos
101,03221270-9,Pepinos
102,03221300-9,Hortaliças de folha
103,03221310-2,Alfaces
104,03221320-5,Folhas para salada
105,03221330-8,Alcachofras
106,03221340-1,Espinafres
107,03221400-0,Couves
108,03221410-3,Couve-repolho
109,03221420-6,Couve-flor
110,03221430-9,Brócolos
111,03221440-2,Couve-de-bruxelas
112,03222000-3,Fruta e frutos de casca rija
113,03222100-4,Fruta e frutos de casca rija tropicais
114,03222110-7,Frutos tropicais
115,03222111-4,Bananas
116,03222112-1,Ananases
117,03222113-8,Mangas (frutos da mangueira)
118,03222114-5,Tâmaras
119,03222115-2,Uvas passas
120,03222116-9,Figos
121,03222117-6,Abacates
122,03222118-3,Quivis
123,03222120-0,Cocos
124,03222200-5,Citrinos
125,03222210-8,Limões
126,03222220-1,Laranjas
127,03222230-4,Toranjas
128,03222240-7,Tangerinas
129,03222250-0,Limas
130,03222300-6,Frutos não tropicais
131,03222310-9,Bagas
132,03222311-6,Uvas de corinto
133,03222312-3,Groselhas espinosas
134,03222313-0,Morangos
135,03222314-7,Framboesas
136,03222315-4,Uvas-dos-montes
137,03222320-2,"Maçãs, peras e marmelos"
138,03222321-9,Maçãs
139,03222322-6,Peras
140,03222323-3,Marmelos
141,03222330-5,Drupas
142,03222331-2,Damascos
143,03222332-9,Pêssegos
144,03222333-6,Cerejas
145,03222334-3,Ameixas
146,03222340-8,Uvas
147,03222341-5,Uvas de mesa
148,03222342-2,Uvas para vinho
149,03222400-7,Azeitonas
150,03300000-2,"Produtos da agricultura, da caça e da pesca"
151,03310000-5,"Peixes, crustáceos e produtos aquáticos"
152,03311000-2,Peixes
153,03311100-3,Peixes chatos
154,03311110-6,Linguado
155,03311120-9,Solha
156,03311200-4,Peixes da família do bacalhau
157,03311210-7,Bacalhau
158,03311220-0,Escamudo
159,03311230-3,Pescada
160,03311240-6,Arinca
161,03311300-5,Arenque
162,03311400-6,Atum
163,03311500-7,Badejo
164,03311600-8,Salmão pequeno
165,03311700-9,Salmão
166,03312000-9,Crustáceos
167,03312100-0,Ostras
