id,natureza,name,meio,origem,tipo_mov_id/id,meio_pag_id/id,coluna
1,entra,1,fm,movtes,3,,05fmnl
2,saida,2,cx,movtes,3,,05fmnl
3,entra,1,do,movtes,2,,13bncd
4,saida,2,cx,movtes,2,,13bncd
5,saida,1,do,movtes,6,,04bncl
6,entra,2,dp,movtes,6,,13bncd
7,entra,1,cx,movtes,4,,14fmnp
8,saida,2,fm,movtes,4,,14fmnp
9,saida,1,do,movtes,7,,04bncl
10,entra,2,do,movtes,7,,13bncd
11,entra,1,fm,movtes,5,,05fmnl
12,saida,2,cx,movtes,5,,05fmnl
13,saida,1,do,recpag,,1,11desp
14,saida,2,do,recpag,,1,04bncl
15,entra,1,cx,recpag,,6,01rece
16,entra,2,cx,recpag,,6,03otsr
17,entra,1,do,recpag,,7,01rece
18,entra,2,do,recpag,,7,13bncd
19,entra,3,do,recpag,,7,03otsr
20,saida,1,do,recpag,,2,11desp
21,saida,2,do,recpag,,2,04bncl
22,saida,1,fm,recpag,,3,11desp
23,saida,2,fm,recpag,,3,05fmnl
24,saida,4,cx,recpag,,8,11desp
25,entra,3,cx,recpag,,4,03otsr
26,entra,4,cx,recpag,,4,01rece
27,saida,1,do,recpag,,10,14fmnp
28,saida,2,do,recpag,,10,04bncl
29,entra,1,do,recpag,,9,01rece
30,entra,2,do,recpag,,9,13bncd
31,entra,3,do,recpag,,9,03otsr
32,saida,4,do,recpag,,9,12otsp
33,saida,5,do,recpag,,9,04bncl
34,saida,1,do,recpag,,5,11desp
35,saida,2,do,recpag,,5,04bncl
