id,list_price,uom_id/id,cost_method,categ_id/id,name,sale_ok,company_id/id,uom_po_id,type,supply_method,procure_method,purchase_ok,standard_price
2,1.00,1,standard,1,Art.1º Tabela Geral - Fotocópias,TRUE,1,1,product,produce,make_to_stock,FALSE,1
3,1.00,1,standard,1,Art.1º Tabela Geral - Concessão documentos,TRUE,1,1,product,produce,make_to_stock,FALSE,1
4,1.00,1,standard,1,Art.1º Tabela Geral - Certidões diversas,TRUE,1,1,product,produce,make_to_stock,FALSE,1
5,1.00,1,standard,1,Art nº6 Cap I Tabela Geral-Serviço digitalização,TRUE,1,1,product,produce,make_to_stock,FALSE,1
6,1.00,1,standard,1,"T.T.O.R.M SECÇÃOII,ARTº 2Nº1 ALINEA a) Cartografia",TRUE,1,1,product,produce,make_to_stock,FALSE,1
7,1.00,1,standard,1,"T.T.O.R.M SECÇÃOII, ARTº2 Nº1 ALINEA a)Cartografia",TRUE,1,1,product,produce,make_to_stock,FALSE,1
8,1.00,1,standard,1,"T.T.O.R.M SECÇÃOII,ARTº2Nº2 ALINEA a)Inf.Geográfic",TRUE,1,1,product,produce,make_to_stock,FALSE,1
9,1.00,1,standard,1,"T.T.O.R.M SECÇÃOII,ARTº 2Nº2 ALINEA a)Ortofotomapa",TRUE,1,1,product,produce,make_to_stock,FALSE,1
10,1.00,1,standard,1,"T.T.O.R.M SECÇÃOII,ARTº 2Nº2 ALINEAb)Planta Antiga",TRUE,1,1,product,produce,make_to_stock,FALSE,1
11,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº2ALINEAc)Imagens",TRUE,1,1,product,produce,make_to_stock,FALSE,1
12,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAa)Impressões A4",TRUE,1,1,product,produce,make_to_stock,FALSE,1
13,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAb)Impressões A3",TRUE,1,1,product,produce,make_to_stock,FALSE,1
14,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAc) Impressões A2",TRUE,1,1,product,produce,make_to_stock,FALSE,1
15,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAd) Impressões A1",TRUE,1,1,product,produce,make_to_stock,FALSE,1
16,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAe) Impressões A0",TRUE,1,1,product,produce,make_to_stock,FALSE,1
17,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº3ALINEAe) Impressões A0",TRUE,1,1,product,produce,make_to_stock,FALSE,1
18,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº4ALINEA a) PDM 1/10.000",TRUE,1,1,product,produce,make_to_stock,FALSE,1
19,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº4ALINEA a) PDM 1/5.000",TRUE,1,1,product,produce,make_to_stock,FALSE,1
20,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº5ALINEA a)Plantas",TRUE,1,1,product,produce,make_to_stock,FALSE,1
21,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2Nº5ALINEA b)Regulamento",TRUE,1,1,product,produce,make_to_stock,FALSE,1
22,1.00,1,standard,1,"T.T.O.R.M.SECÇÃOII,ART.º2 Nº6 Gravação CD",TRUE,1,1,product,produce,make_to_stock,FALSE,1
23,1.00,1,standard,1,Nº1 Art 3ºTabela Geral-Emissão Período Funciona/to,TRUE,1,1,product,produce,make_to_stock,FALSE,1
24,1.00,1,standard,1,Nº2 Art.3ºTabela Geral-Alteração horár.Funciona/to,TRUE,1,1,product,produce,make_to_stock,FALSE,1
25,1.00,1,standard,1,Nº3 Art 3º Tabela Geral - Contratos avulso,TRUE,1,1,product,produce,make_to_stock,FALSE,1
26,1.00,1,standard,1,Nº 4 Art 3ª Tabela Geral-Intervenões via pública,TRUE,1,1,product,produce,make_to_stock,FALSE,1
27,1.00,1,standard,1,Nº5 Art 3º Tabela Geral - Enchimento garrafas ar,TRUE,1,1,product,produce,make_to_stock,FALSE,1
28,1.00,1,standard,1,Nº1 Art 4º Tabela Geral-Averbamento clubes,TRUE,1,1,product,produce,make_to_stock,FALSE,1
29,1.00,1,standard,1,Nº 2 Art 4º Tabela Geral-Averbamento hipermercados,TRUE,1,1,product,produce,make_to_stock,FALSE,1
30,1.00,1,standard,1,Nº3 Art 4º Tabela Geral- Averbamento Suprmercados,TRUE,1,1,product,produce,make_to_stock,FALSE,1
31,1.00,1,standard,1,Nº4 Art 4º Tabela Geral-Averba/to Mercearia?.,TRUE,1,1,product,produce,make_to_stock,FALSE,1
32,1.00,1,standard,1,"Nº 5 Art 4º Tabela Geral-Averba/to Talho,peixaria",TRUE,1,1,product,produce,make_to_stock,FALSE,1
33,1.00,1,standard,1,Nº 6 Art 4º tabela Geral-Averbamento Cabeleireiro,TRUE,1,1,product,produce,make_to_stock,FALSE,1
34,1.00,1,standard,1,Nº 7 Art 4º tabela Geral-Averbamento Aviário/outro,TRUE,1,1,product,produce,make_to_stock,FALSE,1
35,1.00,1,standard,1,a) Nº 8 Art 4º tabela Geral-  Averba/tos 1ªClasse,TRUE,1,1,product,produce,make_to_stock,FALSE,1
